iter	Passed	Remaining
0	11	2286
1	21	2136
2	56	3708
3	65	3201
4	72	2827
5	77	2498
6	80	2222
7	84	2038
8	86	1844
9	90	1727
10	95	1642
11	99	1558
12	102	1480
13	106	1419
14	111	1376
15	115	1328
16	119	1291
17	124	1263
18	129	1232
19	133	1201
20	137	1175
21	141	1147
22	146	1125
23	152	1118
24	156	1096
25	160	1075
26	177	1139
27	204	1253
28	215	1270
29	219	1244
30	224	1222
31	228	1198
32	233	1180
33	236	1154
34	240	1133
35	245	1116
36	249	1099
37	253	1080
38	259	1069
39	264	1057
40	268	1039
41	272	1023
42	276	1010
43	281	998
44	285	983
45	290	973
46	294	959
47	299	948
48	304	938
49	308	926
50	313	914
51	317	903
52	321	891
53	325	880
54	330	872
55	335	862
56	339	852
57	346	847
58	350	837
59	355	830
60	360	820
61	364	812
62	370	805
63	375	797
64	379	789
65	385	783
66	389	773
67	423	823
68	432	820
69	445	826
70	451	820
71	457	813
72	462	804
73	468	797
74	472	788
75	478	780
76	482	771
77	486	760
78	490	751
79	495	743
80	501	736
81	505	727
82	509	718
83	513	709
84	518	701
85	522	692
86	527	685
87	532	677
88	536	669
89	539	659
90	544	651
91	584	686
92	588	676
93	596	673
94	602	666
95	609	660
96	613	650
97	621	646
98	627	640
99	632	632
100	636	623
101	639	614
102	644	606
103	649	599
104	652	590
105	656	582
106	660	574
107	667	568
108	672	561
109	676	553
110	681	546
111	688	540
112	694	534
113	698	526
114	706	522
115	741	536
116	753	534
117	757	526
118	762	519
119	766	511
120	771	503
121	776	496
122	780	488
123	786	481
124	790	474
125	794	466
126	799	459
127	804	452
128	809	445
129	812	437
130	816	430
131	839	432
132	859	432
133	864	425
134	872	420
135	877	412
136	880	404
137	885	397
138	888	390
139	892	382
140	896	374
141	900	367
142	904	360
143	909	353
144	913	346
145	918	339
146	922	332
147	927	325
148	930	318
149	935	311
150	940	305
151	950	300
152	954	293
153	958	286
154	963	279
155	968	273
156	973	266
157	977	259
158	982	253
159	986	246
160	990	239
161	994	233
162	999	226
163	1002	220
164	1007	213
165	1010	207
166	1015	200
167	1018	193
168	1022	187
169	1026	181
170	1030	174
171	1033	168
172	1037	161
173	1041	155
174	1046	149
175	1049	143
176	1053	136
177	1059	130
178	1104	129
179	1116	124
180	1124	118
181	1128	111
182	1132	105
183	1137	98
184	1140	92
185	1145	86
186	1149	79
187	1153	73
188	1157	67
189	1161	61
190	1165	54
191	1169	48
192	1172	42
193	1177	36
194	1180	30
195	1184	24
196	1188	18
197	1192	12
198	1196	6
199	1199	0
