movieid,rating,userid
2929,4,1119
480,3,2918
3536,5,5589
3181,3,4277
2916,3,4708
2232,4,4238
1225,4,2055
750,5,5741
912,5,4594
2568,3,4998
2374,5,1645
2391,4,1897
1225,5,5395
110,1,1717
2797,3,676
10,3,1584
2321,3,2688
590,4,977
552,3,3626
527,5,5309
1391,1,4016
1233,3,13
3481,4,4708
2970,5,1285
1950,5,1170
2890,4,1748
589,2,1942
955,5,3093
3448,4,3558
3515,1,2445
1676,3,4579
2858,5,5785
3476,4,3091
778,4,5605
595,3,4955
3067,3,5074
2067,4,4038
356,4,5063
2664,4,4000
1240,4,4124
1287,3,5838
2924,2,1340
1965,4,284
2867,1,4575
2531,1,2496
1213,5,3487
485,3,2761
1722,5,5679
1353,1,781
3408,4,2655
2324,3,3590
514,5,5312
2324,5,2974
2490,3,3859
1500,3,261
991,4,3159
1046,3,193
647,3,2122
380,4,2116
247,4,3265
2414,3,1897
588,2,911
2,1,3650
2706,4,3342
1270,4,2290
296,3,1120
920,5,5009
34,4,2322
1344,5,5806
2409,1,2102
1729,4,3487
802,4,319
3745,2,2915
3271,4,2050
3066,3,2402
2787,3,3308
1995,3,1737
2860,2,1329
1175,2,33
3000,4,953
915,4,556
1251,5,1268
1965,4,5294
2159,3,5413
2716,3,3454
3095,2,258
2750,1,3586
904,4,3580
3698,3,1317
1233,3,1231
2616,1,5915
300,5,1448
1986,1,1284
1213,4,5914
935,4,146
3451,4,5367
2948,3,1584
2321,4,4238
589,4,166
2282,5,5503
1370,2,5536
3263,4,5654
753,4,1680
3308,3,5256
3717,3,3191
1204,5,1579
3653,4,2878
593,3,1908
1408,5,461
1220,4,5798
3623,5,1806
2571,5,2539
590,5,3927
367,5,1983
1041,4,2407
597,3,3746
2968,3,977
3947,1,1449
1970,2,5519
1920,4,2804
3328,5,5242
1694,4,677
3098,5,3693
351,4,1298
1208,4,2507
1961,3,2529
3503,1,1489
3897,4,1961
454,3,4522
1288,2,5317
2701,2,3013
2738,2,4754
1747,4,4715
3712,4,5337
2572,5,5459
3135,3,4447
110,5,677
2571,4,5236
2183,4,4708
3264,4,5794
539,4,4153
3044,4,829
1061,2,3648
3078,4,1306
1013,4,678
1777,3,1383
3347,3,5289
2705,1,1094
3740,3,1776
3079,4,3430
2099,4,198
2694,5,2974
1376,3,5394
3176,5,2860
1059,3,3836
612,3,3850
3751,3,3301
745,5,3789
260,5,2849
2133,3,2776
3524,2,3308
480,5,1684
2641,1,2742
1101,3,5879
910,4,3437
2083,3,48
1513,1,1055
2121,3,692
1266,5,5166
253,4,4344
969,5,4090
273,1,1010
3178,5,2435
541,5,1695
2997,4,2303
1192,5,998
3157,3,3193
1466,3,1916
377,3,5553
1404,4,549
356,5,2533
3034,4,1941
3265,4,4415
177,1,1341
1500,4,2051
2352,5,4983
2622,4,44
1235,3,4829
1270,5,4112
1875,5,1680
2002,3,528
590,5,1612
2719,2,5877
2884,3,3191
1270,3,4218
